headline,is_sarcastic
kevin o’leary credits acting chops to years of convincing people he wasn’t driving the boat,1
paramount to remake sinners with all-white cast,1
artemis ii mission was a triumph. now comes the hard part,0
why pokemon cards are one of the hottest speculative booms right now,0
great at gaming? us air traffic control wants you to apply,0
irish celebrating st porcelain day for the patron saint of hangovers,1
unpack all the latest drama from race across the world,0
what the artemis ii mission might mean for the future of lunar research,0
man spends entire afternoon trying to get ai to do job that would have taken him 20 minutes,1
world leaders push to save iran talks amid israel’s attacks in lebanon,0
“they looked iranian”: security footage shows trump negotiating with white house patio umbrellas for six hours,1
"molotov cocktail is hurled at home of sam altman, openai’s ceo",0
iran looks to project unity with large delegation to peace talks,0
"“yeah, but remember how kamala laughed weird?” defends trump voter being enlisted to iran",1
england far from perfect but red roses machine marches on,0
petrol and diesel prices rise again as concerns grow over ceasefire,0
how many ships are crossing the strait of hormuz?,0
government waits until warmest day of the year to announce support plan for rising heating bills,1
help! the cast of mr. d won’t stop reuniting,1
heated rivalry season two to follow hockey players who secretly don’t cheat on their wives,1
man left paralysed after being crushed under the weight of single perfectly manageable task,1
carney eyes bloc mp to complete his collection,1
aussies taking iran war seriously now petrol and sport are involved,1
the revival of the fashion-tech love affair,0
ice agent wondering how many bodies he’d be able to fit into airport security tray,1
another giant leap reminds us how small we are,0
second fifa peace prize posthumously awarded to ayatollah ali khamenei,1
highlights from nasa’s artemis ii moon mission splashdown,0
banksy paints giant c*ck on reuters building,1
usa wins gold at super bowl,1
recognising your own country: a five-point guide for terminally confused,1
live nation restricts ticket buying and selling exclusively to bots,1
why fuel and food prices could still be affected for months,0
vance faces test of his negotiating skills with iran talks,0
ben mulroney accidentally shares video with fake footage of him being a respected media figure,1
heartbreaking: the smart fridge is cyberbullying mom,1
heartbreaking for star wars fans: george lucas has revealed that you would have to lick jabba the hutt over 100 times to get any sort of buzz whatsoever,1
fed up woman will only stay at her job for five or ten more years,1
a new study helps explain how the brain creates mental images,0
price of first class stamp rises to £1.80,0
remorseful right-wing commentators wishing there had been some sort of clue that trump was a democracy-denying war-mongering narcissist,1
israel and lebanon plan talks in d.c. as war threatens u.s.-iran cease-fire deal,0
here’s the latest.,0
pioneering wildlife cameraman doug allan dies after falling ill in nepal,0
melania trump body double denies connections to jeffrey epstein body double,1
earthset and a solar eclipse: nasa releases first images from moon fly-by,0
local blu-ray player used to be playstation 3,1
"david sklansky, ‘mathematician’ of high-stakes poker, dies at 78",0
"why easter eggs should be part of a healthy balanced breakfast, by jake aged 7 and three-quarters",1
"in steven soderbergh's 'the christophers,' an aging artist meets his match",0
mayor warns of london 'disinformation blizzard',0
big week for suspected war criminals,1
"new oscar category for “best cast” won by bobby, who tried to climb the tube slide",1
baseball statue broken as it is unveiled in seattle,0
trump calls on nato to help reopen kid rock’s pool,1
eight arrested in connection with deadly california fireworks explosion,0
killing of masood masjoody exposes deep rifts in canada’s iranian diaspora,0
trade talks: australia says european producers can call wine ‘goon’ if we can use term ‘champagne’,1
men at half-mast to mourn founder of onlyfans,1
the spiky cactus fruit giving indian farmers a cash boost,0
volkswagen to end e.v. production at tennessee plant,0
canada chooses lawful evil over chaotic evil,1
travelodge guests to be asked to choose from bowl of key cards,1
weather report: get ready for a wet ass february,1
"‘can i also have £75,000 for getting sacked and possibly breaking the law?’ asks rest of population",1
"when i said i’d stop the boats i meant the british navy, clarifies starmer",1
nature reserve helping restore crane population,0
changing the game? this man is performatively listening to an audiobook,1
hundreds contact bbc about mystery skin condition 'hell' - but doctors can't agree it exists,0
tuckered out timothée chalamet carried to car by kylie jenner’s bodyguard,1
"in a restaurant’s name, a message of grief and hope for palestinians",0
outrage as three lions replaced with three beavers on england world cup shirts,1
"as artemis ii mission approaches, trump warns denmark to hand over the moon or face the consequences",1
melania trump's speech propels epstein crisis back to forefront,0
the pokémon strategy: this funeral home is offering the chance to score a limited holographic prayer card of your deceased loved one with every wake,1
this coat cost $248 in illegal tariffs. will he ever get the money back?,0
"higgs boson breakthrough was uk triumph, but british physics faces 'catastrophic' cuts",0
iran’s south africa mission trolls trump amid hormuz ceasefire,0
mexico’s police focus on world cup while thousands remain missing,0
"buck martinez announces he is getting up, getting out of here, and gone",1
us excited to see new merch trump will promote during transfer of the latest fallen us soldiers,1
eamonn holmes recovering in hospital after stroke,0
how hungarian prime minister viktor orbán's hometown became a symbol of excesses,0
the science of soulmates: is there someone out there exactly right for you?,0
man insisting renewable energy is ‘too unreliable’ just going to continue ignoring the whole ‘strait of hormuz’ thing,1
trump threatens bridge to prevent canadians from visiting country canadians do not want to visit,1
trump tells everyone not to worry about his large box labeled “plans to take over the world”,1
the doomsday seed collectors fighting to save wales' native species,0
roberto di zerbi appointed tottenham’s new chief turd polisher,1
hot in the city: energy crisis tests singapore's air-con addiction,0
see photos from all 10 days of nasa’s artemis ii moon mission,0
"half of gen z uses ai, but their feelings are souring, study shows",0
maga determined to celebrate trump victory in temporarily returning strait of hormuz back to where it was before trump got involved,1
trump fascinated with artemis ii lunar mission after discovering moon has no extradition treaty,1
netanyahu says he ordered israel to hold talks with lebanon about disarming hezbollah,0
what we know about the u.s.-iran cease-fire talks in pakistan,0
eu airline industry warns of fuel shortages if strait of hormuz stays closed,0
every candidate in ndp leadership race comes in third,1
"conservative party of canada votes to axe the tax, build the homes, lose all the future elections",1
u.s. moves to deport son of prominent figure in iranian revolution,0
wireless festival back on as organisers announce surprise set from heinrich himmler,1
uk to send navy to the gulf to combat imminent threat of dubai’s biggest bellends returning to uk,1
new ai-powered staffer brings robot to white house event,1
grieving woman trauma dumps to therapist who just wanted to catch up,1
"'you are my god', japan's pm tells british rock band deep purple",0
flexible hours company lets bosses email employees any time,1
this idyllic us town was full of police families - and a serial killer in their midst,0
really? we’re fucking doing this again?,1
fallout of war piles economic pain onto europe’s political stress,0
tim hortons issues recall after bagels made without burnt edges,1
branding genius! this man calls never doing anything for anybody “self care”,1
australia announces support for us invasion of [insert country here],1
donald trump asks africa cup of nations to overturn 2020 election,1
loser nerds waste their time starting funny little ‘computer’ project in their garage,1
"iran unable to find mines it planted in strait of hormuz, u.s. says",0
why investing in wind and solar to avoid gas shocks hasn’t added up for some,0
2026 showrunners caught reusing 2025 scripts,1
white house insists ice shooter had passed mandatory escalation training,1
u.k. puts chagos islands deal on hold following criticism from trump,0
forget the a.i. apocalypse. memes have already nuked our culture.,0
peru's election: a battle for the presidency amid political chaos and crime,0
matt jeneroux leaves conservative party after being too intimidated by poilievre’s workout regime,1
zelensky sees small window for peace,0
"as election looms, will alito retire, giving trump a new supreme court pick?",0
dermatologist gives up on your stupid face,1
pakistan hosts historic face-to-face talks between the us and iran,0
jo malone hopes 'sense will prevail' in lawsuit over her name,0
fortune favours the brave - will slot start ngumoha against psg?,0
"overlooked no more: margaret gipsy moth, fearless cnn camera operator",0
danielle smith uses notwithstanding clause to run red light,1
melania trump denies links to donald trump,1
the great green wall's one of the world's most ambitious eco-projects. is it working?,0
eu fingerprint and photo travel rules come into force,0
man troubling neighbour for cup of crude oil,1
press blackout allows ontario pcs to finally have all-nude convention,1
gut troubles? this gastroenterologist has tips to help you achieve 'poophoria',0
dickhead with ute taller than himself not so fucking smug about it now,1
greece to ban social media for under-15s from next year,0
"liberal party dramatically underestimated number of women in australia, election review reveals",1
federal court denies anthropic’s motion to lift ‘supply chain risk’ label,0
jd vance unable to discern booing at winter olympics from booing every other day of his life,1
alberta organizes banned book buyback to keep streets safe,1
coachella kicks off with sabrina carpenter and surprise guests,0
openai pauses uk data centre deal over energy costs and regulation,0
middle east war triggers higher prices in china,0
"bold albo defies cautious image with courageous call to remove suspected pedo from being australian head of state, should prince william, prince george, princess charlotte, prince louis, prince harry, prince archie, and princess lilibet all die before king charles",1
m&s release crossless buns for atheists,1
your guide to the uk's music festival season for summer 2026,0
shoppers feel crunch as price of produce climbs,0
businesses scramble to get noticed by ai search,0
keir starmer pictured with cigar and homburg hat,1
"at a concert in budapest, anti-orbán sentiments take center stage ahead of election",0
blue jays to honour the moment joe carter chose a rogers phone plan,1
swinney softens stance on north sea drilling as oil prices soar,0
the artemis ii crew saw parts of the moon never seen before. here's what they said,0
fury dominates makhmudov and calls out joshua next,0
"woman, 19, killed in dog attack at house",0
heated rivalry fans unfamiliar with concept hockey players might be gross,1
ceo blames current round of layoffs on record profits,1
nation could really use catherine o’hara to deal with passing of catherine o’hara,1
"country whose problems all come from the house of commons, reforms the house of lords",1
nice! doctor has poster of skeleton on wall to establish some kind of credibility,1
the comic chemistry remains strong in hulu's 'malcolm in the middle' reunion,0
us declares huge victory after it negotiates for trade route that was previously open to re-open,1
breaking: wife finishes cup of coffee,1
doug ford launches transparent effort to end transparency,1
ns budget shortfalls force tim houston to eliminate ocean,1
timothée chalamet wins fifa best actor award,1
‘i bloody hate long haul’ – artemis ii passengers complain as entertainment system goes down,1
trump sends well-wishes to today host’s kidnapped mother after confirming she not in ice detention,1
clacton to build mar-a-lago replica in hope of attracting occasional visit from nigel farage,1
how young men's lives are influenced by the manosphere,0
the real impact of roadworks on the country - and why they're set to get worse,0
bored retiree creates supersized household objects,0
man continues joyless slog through great work of literature,1
"who should we believe? the misinformation-loving democracy-denying religious fundamentalist cult, or the iranians?",1
how to stay present with your friend and the strangers having a conversation beside you,1
"gold coast’s trump tower will require 5,000 tonnes of bronzer a day to maintain orange glow",1
the sphinx thinks it stinks,0
man who wouldn’t wear mask to protect people fine wearing mask to shoot them,1
weary jane mcdonald emerges from hms dragon after getting on wrong ship,1
usps is running out of money. here’s how it could affect your mail.,0
metrolinx hires elderly woman after watching her take 30 minutes to cross the street,1
nasa’s artemis ii astronauts took iphones into space,0
new glasses feel immense pressure to improve fuckability,1
what's it like to cover the ukraine war as the world's attention is focused on iran?,0
‘saturday night live uk was terrible’ insists man who didn’t bother to watch it,1
barron trump announced as new iranian supreme leader,1
media promises to only fall for the ‘maybe poilievre has changed’ story 4-5 more times,1
trump is racing to redefine ‘america first’ in a time of war,0
actor tim blake nelson feels like he's running out of time to do everything he wants,0
"‘i’m fed up.’ frustrated with trump, starmer embraces other allies.",0
'miracle' as lost cat returned home after five years,0
ireland once again demonstrates how to do patriotism without turning it into something deeply unpleasant,1
trump demands canada give him all their olympic medals,1
toronto sun responds to journalist celebrating ice murder by promoting him to ceo,1
'big punch in the face' - could arsenal really blow title from here?,0
"cop30: trump and many leaders are skipping it, so does the summit still have a point?",0
"shortlisted for an oscar, 'homebound' is a daring movie about two dear friends",0
world’s greatest negotiator a bit fucking out of his depth now isn’t he,1
legault resigns to spend more time privately hounding minorities,1
scott mills sacked amid iran spying claims,1
these chimps began the bloodiest ‘war’ on record. no one knows why.,0
white smoke rising from tehran signals they’ve just chosen or just lost a new supreme leader,1
"iran tries to grasp economic devastation of war, and find a way past it",0
xl bully named tyson wins hardest dog at crufts 2026,1
"stuart macgill tipped to replace jackie o, to create most confrontational radio pairing ever",1
irish cabinet meeting to be held to discuss ongoing fuel protests,0
"polio, bubonic plague, smallpox compete to see who can re-establish themselves in canada next",1
israel says it will talk with lebanon but gives no sign of a cease-fire there,0
"furniture poverty on the rise, charity says",0
venezuela approves new law to open mining to foreign investors,0
"uber and lyft offer gas price relief, but drivers say it’s not enough",0
when the moon met canada,0
'affordability is the biggest thing' - conservatives mixed on economy under trump,0
us-iran peace talks + artemis ii returns,0
new archbishop of canterbury to wear hazmat suit during any meeting with pope-killer jd vance,1
trump assures congress that netanyahu has a plan for iran invasion,1
two-week ceasefire perfect timeframe for trump to forget iran exists,1
'world first' gene project helping rare monkeys,0
spurs target swift champions league exit to focus on relegation,1
"after more than 9 days in flight, nasa's artemis ii is set to return to earth",0
white house assures public it will develop objectives for iran war once it is over,1
"what are el niño and la niña, and how do they change the weather?",0
riyadh named uk city of culture,1
how families can get crisis support to heat homes,0
doug ford announces new law stating that if you’re an undercover cop you have to tell him,1
growing list of orban loyalists defecting before critical election,0
artemis ii astronauts have just one task ahead of them today: return home,0
"why i supported trump’s ‘no foreign wars’ position and also him bombing iran back to the stone age, by a man suffering from trump delusion syndrome",1
5 times mom cried her fucking eyes out while reading ‘country living’ magazine,1
americans demand to know who they have to bomb to lower gas prices,1
pete hegseth apologises for love-bite on donald trump’s neck,1
"with iran setting limits, strait of hormuz remains thorny politically",0
jd vance takes on a perilous mission - could it backfire?,0
tankers urged not to pay toll to iran for use of strait,0
trump threatens tariffs on champagne so nobody can celebrate when he dies,1
report: late friend late again,1
canine eugenics tournament hailed as massive success,1
knifeman calling himself 'lucifer' slashes three at nyc's grand central,0
uk farmers warn iran ceasefire too late to stop higher food costs,0
"“i have to hate springsteen now, too?” ask tearful trumplethinskins, realising all that’s left for them is kid rock",1
watch: bbc asks artemis ii crew a question in space,0
a.i. is on its way to upending cybersecurity,0
analysis: ayatollah’s death fails to deliver trump his dead father’s approval,1
doubles luge canceled as olympics runs out of condoms,1
mothers day breakfast in bed technically ‘edible’,1
"india's lack of widebody aircraft a 'scandal', says incoming indigo chief",0
relief as ‘coast to coast’ walking trail finally receives motorway upgrade,1
why chinese tech companies are racing to set up in hong kong,0
spain's huge pork industry seeks salvation from swine fever threat,0
the construction boss who built a new life after three years in prison,0
phillip schofield to replace scott mills on bbc radio 2,1
"parent concerned at time children spend playing computer games, also quietly grateful for it",1
quentin tarantino begins auditioning feet for west end debut,1
india cracks down on satirists for turning its prime minister into a punch line,0
6th anniversary of covid outbreak provides perfect opportunity for conspiracy-minded simpletons to identify themselves,1
trump moves top aide james blair to political operation ahead of midterms,0
fifa peace prize recipient peacefully starts new war,1
"facing many crises, pakistan tries to end a big one — in iran",0
trump fumes at japanese refusal to send godzilla to strait of hormuz,1
friend getting a little too good at not being a people pleaser,1
what are uv levels and how can you protect yourself?,0
uk strangely reluctant to follow an adjudicated sexual abuser and convicted felon into another illegal war,1
australia post driver spends evening pre-filling in ‘sorry we missed you’ cards before tomorrow’s shift,1
dolce & gabbana co-founder steps down as chair,0
"still in shock, beirut tries to heal after deadly israeli attacks",0
openai encourages firms to trial four-day weeks to adapt to ai era,0
experts warn new film about divorced man doing stand-up may lead to more divorced men doing stand-up,1
childproof lock added to white house nuclear launch button,1
trump to allies: “which of you fucking losers wants to secure the strait of hormuz?”,1
judges fired after blocking deportations of pro-palestinian students,0
officer fatally shoots attacker at grand central after 3 are stabbed with machete,0
us weight-loss drugmakers slash prices in fight to win customers,0
this hungarian town explains why orban could lose on sunday,0
house democrats ask if canada could step in to fight authoritarianism for them,1
"fbi director tells americans not to bring guns to protests, schools still okay",1
"what did jesus do on the monday, ask those enjoying the bank holiday",1
"starmer confirms uk not at war with iran, just letting someone else start one from our garden",1
murder arrest over primrose hill stabbing,0
3 california men are arrested in $1 million lego heist,0
chuck norris beats the crap out of satan,1
trump unveils giant gold-accented victory arch design for us capital,0
how accurate are google’s a.i. overviews?,0
germany has a shortage of workers - so it's turning to india for help,0
linguists stumped by decline in winnipeg residents calling themselves ‘peggers,1
"afrika bambaataa, hip-hop and electro pioneer, dead at 68",0
time between oil price rise and rise in petrol prices reduced to six nanoseconds,1
world's first safari park celebrates 60 years,0
snowbirds struggle to find sun destination not being invaded by the us,1
"it would be disrespectful to do any of those little diy jobs around the house on the weekend jesus was crucified, insists local man",1
the debate about whether the nhs should use magic mushrooms to treat depression,0
pope leo says 'delusion of omnipotence' is fueling u.s.-israeli war in iran,0
brit says he is not elusive bitcoin creator named by new york times,0
"appeals court allows work on trump’s ballroom project for now, but seeks clarity on scope",0
artemis ii: nasa targets early april for moon mission,0
billionaires who lobbied trump to halt canadian bridge praise ez-bribe app,1
dynamic pricing? woman adjusts her venmo requests to people based on how much she thinks they make,1
"'wait wait' for april 11, 2026: spring has sprung!",0
iran war live updates: u.s. and iran hold marathon peace talks into the early morning,0
serial killer’s cat insists on lying right across the warm corpse he’s working on,1
"amazon to end support for older kindles, prompting user outcry",0
"public bathroom out of soap, toilet paper, lightbulbs",1
"move over, mr. ripley. 'i am agatha' is a delightfully duplicitous debut",0
only two ships passed through the strait of hormuz on friday.,0
repair shop restores britain's first black ballerina's shoes,0
albanese to address nation about alarming new ‘doritos cheesy jalapeño hot cross buns’,1
war memorial to move ben roberts-smith’s medals to special new exhibit,1
"first stop, the moon. next stop, mars? why nasa's mission matters",0
plan 2 student loan interest rates capped at 6% in england,0
prepare for turbulence - how a prolonged middle east conflict could reshape how we fly,0
takeaways from the first big gathering of potential 2028 democratic candidates,0
u.s. intelligence shows china taking a more active role in iran war,0
us treasury to push ahead with plan to update dollar bills with signature from jeffrey epstein’s birthday card,1
canada credits gold medal curling win to expert fingering,1
astronauts suggest naming a moon crater 'carroll' after their commander's late wife,0
poilievre appears on joe rogan podcast after accidentally polling too well with women,1
the athletic investigates conduct of reporter photographed with n.f.l. coach,0
‘strait of hormuz’ to be renamed ‘strait of america’,1
artemis ii mission was a triumph - now comes the hard part,0
"anthropic claims its new a.i. model, mythos, is a cybersecurity ‘reckoning’",0
wives and children of foreign isis fighters stranded in syria with no way home,0
"with u.s.-iran peace talks set to begin, prospects for long-term deal uncertain",0
“but when is international iguana’s day?” asks unbearably tedious iguana,1
u.s.-iran peace talks underway in islamabad after weeks of frantic diplomacy,0
report: even grok grossed out by how much elon musk is in epstein files,1
trump touts newly released plans for d.c. triumphal arch,0
'club vibes without the hangover': the twenty-somethings going out - in the gym,0
"who is viktor orbán, hungarian pm fighting to stay in power after 16 years?",0
nearly 400 sentenced in nigeria for links to militant islamists,0
drama as legendary vanity fair oscars party runs out of crisps,1
sir john curtice: why labour's brexit focus has shifted from leavers to remainers,0
chatgpt starting to think human it talking to might be sentient,1
watch: artemis ii astronauts splash down on earth,0
many venezuelans want to go home. but they can’t get passports.,0
lebanon: images of a nation uprooted by war,0
trump excited to ask astronauts if the moon hit their eye like a big pizza pie,1
reform calls for new law to replace international women’s day with british women’s day,1
nationwide now offering 30-year mortgages for 1st class stamps,1
carney opens quebec speech by saying “we all agree maurice richard was overrated right?”,1
people go back to believing everything they read on the internet,1
couples pregnancy app carefully dumbs down information sent to father,1
final push for votes as challenger to hungary's orbán senses victory,0
"home working, long leases and rise of parking apps - what went wrong for ncp",0
melania trump expertly distracts media away from disastrous iran war back to jeffrey epstein,1
"openai buys streaming show ‘tbpn,’ aiming to change narrative on a.i.",0
would you build your own apps?,0
"saharan dust storm and ‘blood rain’ could present best excuse for a sickie in years, insist experts",1
bbc inside science,0
north korean media reports kim jong-un rode shergar to victory at cheltenham festival,1
‘if only someone had negotiated the end of iran’s nuclear programme a decade ago’ explains smug obama,1
meta pulls facebook ads recruiting for social media addiction lawsuits,0
"ford warns osap students not to pick ‘basket-weaving courses’, pick ‘inherit trust fund’ courses instead",1
trump demands carney give him his standing ovation from davos,1
sauces that pair nicely with eating the rich,1
"navy warships cross strait of hormuz to clear mines, u.s. says",0
parents who want lgbt rights classes banned because they are “confusing” somehow fine with algebra,1
man enters fourth hour watching reels warning of the addictive nature of social media,1
hockey canada ordered to pay nation’s therapy bills,1
who knew lord sugar is a table tennis fan?,0
are domes and spheres the future of entertainment?,0
opinion: a well-deserved statue for a hero rat,0
donald trump uses graceland visit to profess deep admiration for how elvis groomed 14-year-old girl,1
man who loudly demanded chocolate eggs have ‘easter’ written on the box didn’t go to church again this year,1
white house staff told not to place bets on prediction markets,0
war that us won “in the first hour” enters third month,1
loblaws pretty sure people won’t care that coconuts labelled as “canadian”,1
here’s what happened in the war in the middle east on thursday,0
nasa apollo missions: stories of the last moon men,0
music giant universal gets $64bn takeover offer,0
trump declares victory over pants after six weeks of shitting in them,1
worried about a.i. taking your job? that’s not very ‘agentic’ of you.,0
peace talks progressing well between donald trump and his reflection,1
tesco manager crucified in frozen aisle to prove supermarkets are ‘easter’ enough,1
what the cease-fire means for iran,0
nation returns to heated rivalry to watch canadians get fucked in a good way,1
the 40 minutes when the artemis crew loses contact with the earth,0
matt canavan to boost number of australian babies with coal-fired ivf program,1
reform councillor’s outrage that dildo packaging doesn’t even mention easter,1
artemis crew home safely after completing historic mission to the moon,0
soaring fuel prices squeeze china’s frugal truckers,0
europe pushes for a gentler internet for children,0
posh tw*ts chasing fox to replace winston churchill on new £5 note,1
6 reasons i always put myself down as my emergency contact instead of my wife,1
'every drop of water counts': fear for the future of argentina's glaciers,0
why the railways often seem to be in such chaos over christmas,0
national minimum wage rises this week,0
"putin announces orthodox easter cease-fire, but ukraine is skeptical",0
will uk petrol and diesel prices start going down?,0
the homeless teenager who became a successful advertising boss,0
what do businesses want ahead of the election?,0
ai job losses free up time for unemployed mobs to burn down tech ceo‘s houses,1
new laws to make it easier to cancel subscriptions,0
"carney says he supports us invading iran, cuba, and possibly canada “with some regret”",1
germany's far-right afd adopts 'radical' manifesto ahead of key polls,0
many iranians are glad the fighting has paused. some hard-liners aren’t.,0
what teens are doing with those role-playing chatbots,0
concerns after satellite provider restricts iran images following us pressure,0
trump’s iran war is a familiar middle eastern folly,0
jesus takes one look at state of the world and walks straight back into the tomb,1
openai promises new safeguards to prevent suicide-related lawsuits,1
recession indicator? pizza delivery man sick of getting paid in blowjobs,1
ni fuel protesters 'stand in solidarity' with irish counterparts,0
england awarded 1986 world cup after fifa overturns maradona’s handball goal,1
cbc gem crashes due to canadians using it,1
how the iran war affects your money and bills,0
ford to carney: “interfering in lower orders of government is my thing!”,1
critics slam measles reboot as another nostalgia-fuelled cash grab,1
"california warehouse fire suspect invoked luigi mangione, court files say",0
"instagram, youtube ordered to pay $300 million to anyone who’s not too distracted by their phones to claim it",1
j.d. vance launches invasion of trump’s personal space,1
manhattan da opens investigation into eric swalwell after sexual assault allegations,0
"want to help garden birds? don't feed them in warmer months, says rspb",0
exclusive – listen to the newly discovered black box recording from the cockpit of malaysia airlines flight 370,1
editorial: here’s why avi lewis is the wrong choice to lead the ndp – by a centrist liberal,1
judge dismisses death penalty for luigi mangione citing “too sexy to die” precedent,1
see you in pyongyang: russia pushes its people to embrace north korea,0
should churches remove art by a priest accused of sexual abuse?,0
nation almost excited to see how bad via rail can get after carney’s spending cuts,1
28-year-old really enjoying early twenties,1
"postal service, under pressure, now faces trump’s mail ballot order",0
couple’s stand off over who empties the food waste bin enters 176th day,1
jackie leaves kyle & jackie o show after being treated like a guest on kyle & jackie o show,1
number of days since joey barton’s last violent assault reverts back to zero,1
daily mail teases readers with fact-based article for april fool’s day,1
why opening the strait of hormuz won’t immediately lower gas prices,0
jamil jivani’s plan to neg canadians into making him pm off to rocky start,1
music festival fan regales friends about $700 show that sounds like worst experience possible,1
donald trump hired by the simpsons after claiming to predict 9/11,1
priest having second thoughts about letting trump give robert mueller’s eulogy,1
trump holds peace talks with iranian restaurant,1
artemis ii splashdown captures nationwide attention,0
cyclist repeatedly fails captcha test after failing to identify images with traffic lights,1
university of ottawa lockdown lifted after a man is arrested,0
djibouti's president wins unprecedented sixth term with 97.8% of vote,0
grand national 2026: i am maximus becomes two-time winner,0
south african writer mfundi vundla gets personal in his new play,0
lyse doucet: historic us-iran talks must bridge deep distrust,0
has artemis ii shown we can land on the moon again?,0
nasa announces change to its moon landing plans,0
new-look national party vows to appeal to broader cross-section of australian coal lobbyists,1
the parents using play to stop children getting 'trapped' by screens,0
labour congratulated on classic april fool’s ruse after announcing plan to implement genuinely left-wing policy,1
an inappropriate joke nearly ended his career. now he's back with more humour,0
prince harry is sued for libel by a charity he founded,0
tiger woods given fifa best driver award,1
lidl begins building its first ever pub,0
"ex-meta worker investigated for downloading 30,000 private facebook photos",0
a mexican cartel leader and ex-partner to el mencho pleads guilty in u.s.,0
xi meets taiwan opposition leader for first time in a decade,0
a 500 million year old fossil could change what we understand about spiders,0
government surprised to learn you’re only supposed to make things up to trick people on one day of the year,1
government eases cost of living by halving excise on lindt gold bunnies,1
"us loses world baseball classic bet, has to give venezula their oil back",1
britain's energy bills problem - and why firms are paid huge sums to stop producing power,0
"man who attacked iran, bombed venezuela, uses military on own people and threatened to invade greenland still wants nobel peace prize",1
a newspaper is raided and a rights group outlawed amid kremlin crackdown,0
moving in silence? woman can’t remember what she did two days ago,1
half-and-half scarves at football matches to become criminal offence,1
u.s.-iran talks timeline: key moments between two adversaries,0
fuel crisis averted after australia finds unlimited deposit of oil in domino’s mega meatlovers range,1
oxford english dictionary redefines ‘ultimatum’ as ‘word orange lunatic uses when he can’t think of a better plan’,1
trump sets iran deadline of tuesday night before he will unleash next deadline,1
pierre poilievre crosses floor to liberals,1
conservative pundit who tried hate-watching heated rivalry openly weeping at end of episode 5,1
"‘i didn’t realise what a bad guy he was,’ said jeffrey epstein on meeting tony blair",1
how will car finance compensation payments work?,0
the us refinery now processing venezuelan oil,0
how iranians feel now,0
